,id,listing_url,last_scraped,source,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month
4447,28117561,https://www.airbnb.com/rooms/28117561,2025-06-21,previous scrape,Wonderful living on the Kreuzberg,5352418,https://www.airbnb.com/users/show/5352418,Sarah,2013-03-06,"Berlin, Germany",within an hour,100%,96%,t,Kreuzberg,2.0,2.0,"['email', 'phone']",t,t,,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.4865,13.38013,Private room in condo,Private room,2,,1.5 shared baths,,,"[""Elevator"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Free street parking"", ""Washer"", ""Hot water"", ""Lock on bedroom door"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Cooking basics"", ""Dishes and silverware""]",,3,30,3.0,30.0,0,0,0,0,91,252,,4.89,4.88,4.89,4.81,1.1
4449,28142343,https://www.airbnb.com/rooms/28142343,2025-06-20,city scrape,"Altbau, sonnig, malerisch",38884973,https://www.airbnb.com/users/show/38884973,Madeleine,2015-07-19,"Berlin, Germany",within an hour,100%,100%,t,,1.0,1.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Schillerpromenade,Neukölln,52.47418551557307,13.424119220335468,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Iron"", ""Wifi"", ""Free street parking"", ""Hot water"", ""Lock on bedroom door"", ""Central heating"", ""Cooking basics"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Body soap"", ""Hangers"", ""Kitchen"", ""Drying rack for clothing"", ""Essentials"", ""Books and reading material"", ""Coffee"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Room-darkening shades"", ""Dedicated workspace"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$66.00,2,12,2.0,12.0,3,12,28,29,59,255,16830.0,4.97,4.98,4.92,4.83,2.63
4451,28146018,https://www.airbnb.com/rooms/28146018,2025-06-21,city scrape,BerlinZentral,212597196,https://www.airbnb.com/users/show/212597196,Karak,2018-08-30,"Berlin, Germany",within an hour,100%,73%,t,Mitte,6.0,6.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.52146,13.40511,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Oven"", ""Hot water"", ""TV"", ""Cooking basics"", ""Lockbox"", ""Elevator"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Crib"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Essentials"", ""Private entrance"", ""Stove"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Kitchen"", ""Dishes and silverware""]",$127.00,3,179,3.5,179.0,9,26,44,296,284,255,32385.0,4.88,4.88,4.97,4.79,3.47
4452,28168852,https://www.airbnb.com/rooms/28168852,2025-06-21,city scrape,Nostalgia - beautiful flat in the heart of Berlin,1531988,https://www.airbnb.com/users/show/1531988,Anna,2011-12-24,"Berlin, Germany",within an hour,100%,100%,t,Friedrichshain,2.0,3.0,"['email', 'phone']",t,t,"Berlin, Germany",Frankfurter Allee Nord,Friedrichshain-Kreuzberg,52.51731,13.45522,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Iron"", ""Cleaning products"", ""Wifi"", ""Free street parking"", ""Oven"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Hot water"", ""Central heating"", ""Cooking basics"", ""Lockbox"", ""Baking sheet"", ""Self check-in"", ""Shower gel"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Single level home"", ""Body soap"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Other induction stove"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Private entrance"", ""Books and reading material"", ""Board games"", ""Extra pillows and blankets"", ""Hair dryer"", ""Coffee maker"", ""Mini fridge"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$115.00,2,1125,2.0,1125.0,1,8,29,287,542,255,29325.0,4.76,4.77,4.81,4.67,6.56
4456,28182613,https://www.airbnb.com/rooms/28182613,2025-06-21,city scrape,N15 - Room22 Apartment Familyhouse,6444753,https://www.airbnb.com/users/show/6444753,Elisa,2013-05-17,,within an hour,100%,96%,t,Kreuzberg,9.0,9.0,"['email', 'phone']",t,t,"Berlin, Germany",Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.49048,13.39128,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"[""Cleaning products"", ""Wifi"", ""Hot water"", ""Smart lock"", ""Freezer"", ""Siemens induction stove"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free dryer \u2013 In building"", ""Baking sheet"", ""Paid street parking off premises"", ""Self check-in"", ""Shower gel"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""Body soap"", ""Shampoo"", ""Miele stainless steel single oven"", ""Long term stays allowed"", ""Hangers"", ""Kitchen"", ""Crib - available upon request"", ""Microwave"", ""Hot water kettle"", ""Essentials"", ""55 inch HDTV with standard cable"", ""Private entrance"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Standalone high chair - available upon request"", ""Toaster"", ""Dishwasher"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$203.00,7,182,6.6,182.0,6,19,46,255,157,255,51765.0,4.84,4.85,4.92,4.73,2.14
4457,28194113,https://www.airbnb.com/rooms/28194113,2025-06-20,city scrape,Mitten in Berlin nahe Nollendorfplatz,212946182,https://www.airbnb.com/users/show/212946182,Martin,2018-09-01,"Berlin, Germany",within an hour,100%,97%,t,Tiergarten,1.0,1.0,"['email', 'phone', 'work_email']",t,t,,Tiergarten Süd,Mitte,52.50317,13.36248,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Cleaning products"", ""Wifi"", ""Laundromat nearby"", ""Hot water"", ""Washer"", ""Lock on bedroom door"", ""Freezer"", ""Central heating"", ""Cooking basics"", ""Outdoor furniture"", ""Geneva sound system with aux"", ""Paid street parking off premises"", ""Bathtub"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Single level home"", ""Shampoo"", ""Hangers"", ""Liebherr refrigerator"", ""Kitchen"", ""Hot water kettle"", ""Cleaning available during stay"", ""Caso stainless steel induction stove"", ""Drying rack for clothing"", ""Essentials"", ""Books and reading material"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Dishwasher"", ""Dining table"", ""Sodasan body soap"", ""Toaster"", ""Dedicated workspace"", ""Outdoor dining area"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Dishes and silverware""]",$67.00,2,10,2.0,1125.0,13,40,68,151,167,255,17085.0,4.92,4.9,4.89,4.83,2.02
4467,28238467,https://www.airbnb.com/rooms/28238467,2025-06-20,city scrape,Sonniges Altbauzimmer in Charlottenburg,32408628,https://www.airbnb.com/users/show/32408628,Marlene,2015-05-02,"Berlin, Germany",within a few hours,100%,10%,t,Charlottenburg,1.0,1.0,"['email', 'phone']",t,t,,Kantstraße,Charlottenburg-Wilm.,52.50793,13.31323,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Oven"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Refrigerator"", ""Bed linens"", ""Shampoo"", ""Hangers"", ""Essentials"", ""Stove"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",$49.00,3,10,3.0,10.0,1,2,20,20,91,88,4312.0,4.92,4.95,4.95,4.93,1.11
4482,28308576,https://www.airbnb.com/rooms/28308576,2025-06-21,city scrape,Maisonette best location 2 balconies Berlin-Mitte,83732173,https://www.airbnb.com/users/show/83732173,Marisa,2016-07-14,"Madrid, Spain",within an hour,100%,100%,t,Mitte,3.0,4.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Brunnenstr. Süd,Mitte,52.53072,13.40267,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,2.0,"[""Iron"", ""Sony sound system with aux"", ""Private patio or balcony"", ""Cleaning products"", ""Wifi"", ""Oven"", ""Laundromat nearby"", ""Hot water"", ""Freezer"", ""City skyline view"", ""Cooking basics"", ""Outdoor furniture"", ""Elevator"", ""Bosch stainless steel electric stove"", ""Baking sheet"", ""Bathtub"", ""Shower gel"", ""First aid kit"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Clothing storage: closet"", ""Refrigerator"", ""Bed linens"", ""41 inch HDTV with standard cable"", ""Trash compactor"", ""Body soap"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Paid parking on premises"", ""Beach essentials"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Private entrance"", ""Books and reading material"", ""Pets allowed"", ""Coffee"", ""Conditioner"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Coffee maker"", ""Host greets you"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Paid parking off premises"", ""Dedicated workspace"", ""Blender"", ""Outdoor dining area"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$123.00,2,1125,2.0,1125.0,1,6,12,50,115,255,31365.0,4.98,4.91,4.94,4.89,1.41
4484,28322739,https://www.airbnb.com/rooms/28322739,2025-06-20,city scrape,Zweites Zuhause (Anna 1908),213877372,https://www.airbnb.com/users/show/213877372,Maarten,2018-09-06,"Berlin, Germany",within an hour,100%,99%,t,Friedenau,6.0,6.0,"['email', 'phone']",t,f,,Friedenau,Tempelhof - Schöneberg,52.46555,13.32627,Room in hotel,Hotel room,4,1.0,1 private bath,1.0,2.0,"[""Wifi"", ""Hot water"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Outdoor furniture"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Paid parking on premises"", ""Safe"", ""Exterior security cameras on property"", ""Essentials"", ""Stove"", ""Baby bath"", ""Hair dryer"", ""Outlet covers"", ""Heating"", ""Coffee maker"", ""Dining table"", ""Bikes"", ""Dedicated workspace"", ""Outdoor dining area"", ""Kitchen"", ""Dishes and silverware""]",$262.00,2,1125,1.6,1125.0,19,37,67,159,4,0,0.0,4.75,5.0,5.0,5.0,0.06
4488,28328056,https://www.airbnb.com/rooms/28328056,2025-06-21,city scrape,smartments Serviced Apartment- Studio in City-West,113215550,https://www.airbnb.com/users/show/113215550,SMARTments,2017-01-25,"Berlin, Germany",within an hour,100%,100%,t,Charlottenburg,14.0,14.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Otto-Suhr-Allee,Charlottenburg-Wilm.,52.50771,13.32803,Room in serviced apartment,Hotel room,2,1.0,1 private bath,1.0,1.0,"[""Iron"", ""Paid washer \u2013 In building"", ""Hot water"", ""TV"", ""Smart lock"", ""Fast wifi \u2013 50 Mbps"", ""Cooking basics"", ""Paid parking garage off premises"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Coffee maker: Nespresso"", ""Microwave"", ""Hot water kettle"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Essentials"", ""Paid dryer \u2013 In building"", ""Stove"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Room-darkening shades"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Central air conditioning"", ""Dishes and silverware""]",$183.00,4,180,2.0,180.0,19,49,79,354,62,76,13908.0,4.74,4.69,4.89,4.53,0.8
4489,28328620,https://www.airbnb.com/rooms/28328620,2025-06-21,previous scrape,smartments Serviced Apartment - Studio XL,113215550,https://www.airbnb.com/users/show/113215550,SMARTments,2017-01-25,"Berlin, Germany",within an hour,100%,100%,t,Charlottenburg,14.0,14.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Otto-Suhr-Allee,Charlottenburg-Wilm.,52.50771,13.32803,Room in serviced apartment,Hotel room,2,,1 private bath,1.0,,"[""Iron"", ""Paid washer \u2013 In building"", ""Fast wifi \u2013 52 Mbps"", ""Hot water"", ""TV"", ""Smart lock"", ""Cooking basics"", ""Paid parking garage off premises"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Coffee maker: Nespresso"", ""Microwave"", ""Hot water kettle"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Essentials"", ""Paid dryer \u2013 In building"", ""Stove"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Central air conditioning"", ""Dishes and silverware""]",,7,180,2.0,180.0,22,39,68,334,53,56,,4.64,4.6,4.7,4.58,0.78
4491,28329091,https://www.airbnb.com/rooms/28329091,2025-06-21,previous scrape,smartments Serviced Apartment in City-West,113215550,https://www.airbnb.com/users/show/113215550,SMARTments,2017-01-25,"Berlin, Germany",within an hour,100%,100%,t,Charlottenburg,14.0,14.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Otto-Suhr-Allee,Charlottenburg-Wilm.,52.50768,13.32803,Room in serviced apartment,Hotel room,2,,1 private bath,1.0,,"[""Iron"", ""Paid washer \u2013 In building"", ""Hot water"", ""TV"", ""Cooking basics"", ""Lockbox"", ""Elevator"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Shower gel"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Shampoo"", ""Body soap"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Hot water kettle"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Essentials"", ""Paid dryer \u2013 In building"", ""Fast wifi \u2013 57 Mbps"", ""Stove"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Paid parking off premises"", ""Dishwasher"", ""Kitchen"", ""Central air conditioning"", ""Dishes and silverware""]",,7,180,2.0,180.0,19,49,79,354,4,28,,4.75,4.5,5.0,4.0,0.05
4494,28355595,https://www.airbnb.com/rooms/28355595,2025-06-21,city scrape,"Noisy and Boring, 9th floor apartment",14159498,https://www.airbnb.com/users/show/14159498,Ivos,2014-04-11,"Berlin, Germany",within an hour,100%,100%,t,Mitte,4.0,6.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.51599,13.41879,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Iron"", ""Oven"", ""Hot water"", ""TV"", ""City skyline view"", ""Cooking basics"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""Wifi \u2013 16 Mbps"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Essentials"", ""Pets allowed"", ""Sonstiges electric stove"", ""Extra pillows and blankets"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Paid parking off premises"", ""Kitchen"", ""Dishes and silverware""]",$63.00,3,1120,3.0,1125.0,3,8,13,128,329,255,16065.0,4.85,4.71,4.85,4.76,4.03
4498,28402280,https://www.airbnb.com/rooms/28402280,2025-06-21,previous scrape,Berlin Apartament,196781468,https://www.airbnb.com/users/show/196781468,Angelika,2018-06-20,,within an hour,100%,100%,t,Karlshorst,2.0,4.0,"['email', 'phone']",t,t,,Karlshorst,Lichtenberg,52.47904,13.52331,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Iron"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Washer"", ""Refrigerator"", ""Microwave"", ""Essentials"", ""Kitchen"", ""Stove""]",,92,1125,92.0,1125.0,0,0,0,0,10,0,,5.0,4.7,4.4,4.9,0.12
4500,28432261,https://www.airbnb.com/rooms/28432261,2025-06-21,previous scrape,Direkt am Potsdamer Platz,208161450,https://www.airbnb.com/users/show/208161450,Arthur,2018-08-08,,within an hour,100%,73%,t,,10.0,12.0,"['email', 'phone']",t,t,"Berlin, Germany",Regierungsviertel,Mitte,52.51034956965516,13.382901518842251,Entire rental unit,Entire home/apt,1,,1 bath,,,"[""Iron"", ""Private patio or balcony"", ""Cleaning products"", ""Paid parking garage on premises"", ""Garden view"", ""Hot water"", ""Freezer"", ""Fast wifi \u2013 71 Mbps"", ""Cooking basics"", ""Elevator"", ""Shower gel"", ""Smoke alarm"", ""Refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Paid parking off premises"", ""Body soap"", ""Shampoo"", ""Long term stays allowed"", ""Free dryer \u2013 In unit"", ""43 inch HDTV with standard cable"", ""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Coffee"", ""Extra pillows and blankets"", ""Hair dryer"", ""Dishwasher"", ""Heating"", ""Induction stove"", ""Coffee maker"", ""Room-darkening shades"", ""Toaster"", ""Clothing storage: dresser"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",,3,120,3.0,120.0,19,45,73,81,103,255,,4.78,4.47,4.89,4.71,1.3
4502,28435392,https://www.airbnb.com/rooms/28435392,2025-06-21,previous scrape,room in a cozy apartment on the canal in Berlin,214662111,https://www.airbnb.com/users/show/214662111,Yotam,2018-09-10,"Berlin, Germany",,,82%,t,Neukölln,1.0,1.0,"['email', 'phone']",t,t,"Berlin, Germany",Rixdorf,Neukölln,52.48556,13.44685,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Wifi"", ""Free street parking"", ""Canal view"", ""Oven"", ""Hot water"", ""Washer"", ""Cooking basics"", ""Elevator"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Backyard"", ""Hot tub"", ""Essentials"", ""Stove"", ""Pets allowed"", ""Shared patio or balcony"", ""Courtyard view"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hair dryer"", ""Heating"", ""Dishwasher"", ""Kitchen"", ""Dishes and silverware""]",,3,1125,3.0,1125.0,0,0,0,0,44,151,,4.89,4.86,4.7,4.89,0.54
4506,28474188,https://www.airbnb.com/rooms/28474188,2025-06-21,city scrape,The Perfect Studio Apartment on Hackescher Markt,12360,https://www.airbnb.com/users/show/12360,Michael,2009-04-05,"Berlin, Germany",within a day,100%,92%,t,Mitte,21.0,21.0,"['email', 'phone', 'work_email']",t,t,"Berlin, Germany",Alexanderplatz,Mitte,52.52127,13.40606,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cleaning products"", ""Wifi"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Lockbox"", ""Patio or balcony"", ""Elevator"", ""Baking sheet"", ""Self check-in"", ""Bathtub"", ""Smoke alarm"", ""Bed linens"", ""Single level home"", ""Long term stays allowed"", ""Hangers"", ""Housekeeping - available at extra cost"", ""Clothing storage"", ""Backyard"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""Stove"", ""Coffee maker"", ""Heating"", ""Mini fridge"", ""Dining table"", ""Room-darkening shades"", ""Paid parking off premises"", ""Dishwasher"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$52.00,92,1124,92.0,1124.0,0,2,32,307,5,255,13260.0,4.6,4.2,4.8,3.8,0.06
4508,28482023,https://www.airbnb.com/rooms/28482023,2025-06-20,city scrape,Gemütliches Gästehaus am Stadtrand,78215311,https://www.airbnb.com/users/show/78215311,Joanna,2016-06-17,"Berlin, Germany",within a few hours,100%,78%,t,Französisch Buchholz,1.0,1.0,"['email', 'phone']",t,t,,Buchholz,Pankow,52.61029,13.42698,Entire guesthouse,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Iron"", ""40 inch HDTV with Amazon Prime Video, Fire TV"", ""Wifi"", ""Free street parking"", ""Oven"", ""Hot water"", ""High chair - available upon request"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Baking sheet"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""Single level home"", ""Shampoo"", ""Body soap"", ""Hangers"", ""Fire extinguisher"", ""Clothing storage"", ""Backyard"", ""Hot water kettle"", ""Drying rack for clothing"", ""Essentials"", ""AC - split type ductless system"", ""Books and reading material"", ""Stove"", ""Private entrance"", ""Coffee"", ""Extra pillows and blankets"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Dining table"", ""Heating - split type ductless system"", ""Toaster"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware""]",$98.00,3,6,3.0,6.0,8,8,8,8,48,126,12348.0,4.98,5.0,4.81,4.85,0.58
4513,28509911,https://www.airbnb.com/rooms/28509911,2025-06-21,city scrape,CALMA L (CALMA Berlin Mitte),215174581,https://www.airbnb.com/users/show/215174581,Maarten,2018-09-13,"Berlin, Germany",within an hour,100%,100%,t,Mitte,4.0,4.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.52646,13.39011,Room in hotel,Hotel room,4,1.0,1 private bath,1.0,2.0,"[""Wifi"", ""Hot water"", ""TV"", ""Smart lock"", ""Booster seat high chair - available upon request"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""Smoke alarm"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Safe"", ""Exterior security cameras on property"", ""Essentials"", ""Board games"", ""Coffee"", ""Baby bath"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Bikes"", ""Dedicated workspace""]",$171.00,1,1125,1.5,1125.0,25,55,85,189,196,255,43605.0,4.85,4.88,4.84,4.74,2.52
4514,28510393,https://www.airbnb.com/rooms/28510393,2025-06-21,city scrape,CALMA M (CALMA Berlin Mitte),215174581,https://www.airbnb.com/users/show/215174581,Maarten,2018-09-13,"Berlin, Germany",within an hour,100%,100%,t,Mitte,4.0,4.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.52644,13.3901,Room in hotel,Hotel room,2,1.0,1 private bath,1.0,1.0,"[""Wifi"", ""Hot water"", ""TV"", ""Smart lock"", ""Booster seat high chair - available upon request"", ""Outdoor furniture"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""Smoke alarm"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Safe"", ""Backyard"", ""Exterior security cameras on property"", ""Essentials"", ""Board games"", ""Coffee"", ""Baby bath"", ""Hair dryer"", ""Heating"", ""Bikes"", ""Dedicated workspace"", ""Outdoor dining area"", ""Dishes and silverware""]",$154.00,1,1125,1.4,1125.0,28,58,88,192,150,202,31108.0,4.81,4.94,4.89,4.67,1.88
4515,28510664,https://www.airbnb.com/rooms/28510664,2025-06-21,city scrape,CALMA S (CALMA Berlin Mitte),215174581,https://www.airbnb.com/users/show/215174581,Maarten,2018-09-13,"Berlin, Germany",within an hour,100%,100%,t,Mitte,4.0,4.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.52644,13.39012,Room in hotel,Hotel room,2,1.0,1 private bath,1.0,1.0,"[""Wifi"", ""Hot water"", ""TV"", ""Smart lock"", ""Booster seat high chair - available upon request"", ""Self check-in"", ""Shower gel"", ""Smoke alarm"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Safe"", ""Portable fans"", ""Backyard"", ""Exterior security cameras on property"", ""Essentials"", ""Board games"", ""Coffee"", ""Baby bath"", ""Hair dryer"", ""Heating"", ""Bikes"", ""Dedicated workspace"", ""Dishes and silverware""]",$145.00,1,1125,1.4,1125.0,25,55,83,187,734,255,36975.0,4.84,4.91,4.9,4.75,9.15
4516,28510951,https://www.airbnb.com/rooms/28510951,2025-06-21,city scrape,CALMA XS (CALMA Berlin Mitte),215174581,https://www.airbnb.com/users/show/215174581,Maarten,2018-09-13,"Berlin, Germany",within an hour,100%,100%,t,Mitte,4.0,4.0,"['email', 'phone']",t,t,,Alexanderplatz,Mitte,52.52652,13.38988,Room in hotel,Hotel room,2,1.0,1 private bath,1.0,1.0,"[""Wifi"", ""Hot water"", ""TV"", ""Smart lock"", ""Booster seat high chair - available upon request"", ""Elevator"", ""Self check-in"", ""Shower gel"", ""Smoke alarm"", ""Bed linens"", ""Crib"", ""Shampoo"", ""Hangers"", ""Safe"", ""Backyard"", ""Exterior security cameras on property"", ""Essentials"", ""Board games"", ""Coffee"", ""Baby bath"", ""Hair dryer"", ""Heating"", ""Bikes"", ""Dishes and silverware""]",$140.00,1,1125,1.4,1125.0,23,49,76,179,153,252,35280.0,4.76,4.84,4.9,4.63,2.07
